epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,29.4755,1.34571,4.42777,1.40621,0.03846,0.5,0.24875,0.22387,1.26039,3.80775,1.13145,0.000507748,0.000169249,0.000507748,0.000169249,0.000507748,0.000169249,0.000507748,0.000169249
40,29.9593,1.42545,4.32769,1.43006,0.03846,0.5,0.24875,0.22387,1.26039,3.80775,1.13145,0.00051284,0.000170947,0.00051284,0.000170947,0.00051284,0.000170947,0.00051284,0.000170947
41,30.6255,1.09762,4.39959,1.32227,0.04167,0.5,0.16583,0.14925,1.06331,3.78668,1.02869,0.000517507,0.000172502,0.000517507,0.000172502,0.000517507,0.000172502,0.000517507,0.000172502
42,31.0596,1.3627,4.55828,1.49764,0.04167,0.5,0.16583,0.14925,1.06331,3.78668,1.02869,0.000521751,0.000173917,0.000521751,0.000173917,0.000521751,0.000173917,0.000521751,0.000173917
43,31.9476,1.22163,4.49455,1.48276,0.04167,0.5,0.0995,0.08955,0.99297,3.78789,0.9903,0.00052557,0.00017519,0.00052557,0.00017519,0.00052557,0.00017519,0.00052557,0.00017519
44,32.3427,1.34117,4.37694,1.416,0.04167,0.5,0.0995,0.08955,0.99297,3.78789,0.9903,0.000528965,0.000176322,0.000528965,0.000176322,0.000528965,0.000176322,0.000528965,0.000176322
45,32.9932,1.18573,4.42852,1.43972,0.03846,0.5,0.12437,0.11194,1.01502,3.80423,1.02903,0.000531936,0.000177312,0.000531936,0.000177312,0.000531936,0.000177312,0.000531936,0.000177312
46,33.3942,1.20847,4.59307,1.41749,0.03846,0.5,0.12437,0.11194,1.01502,3.80423,1.02903,0.000534483,0.000178161,0.000534483,0.000178161,0.000534483,0.000178161,0.000534483,0.000178161
47,34.0915,1.14224,4.46595,1.40022,0.03846,0.5,0.16583,0.14925,1.08921,3.81824,1.08666,0.000536605,0.000178868,0.000536605,0.000178868,0.000536605,0.000178868,0.000536605,0.000178868
48,34.4844,1.34221,4.39084,1.38239,0.03846,0.5,0.16583,0.14925,1.08921,3.81824,1.08666,0.000538304,0.000179435,0.000538304,0.000179435,0.000538304,0.000179435,0.000538304,0.000179435
49,35.1826,1.30376,4.51547,1.45052,0.07692,1,0.26533,0.16915,1.11564,3.82866,1.10381,0.000539578,0.000179859,0.000539578,0.000179859,0.000539578,0.000179859,0.000539578,0.000179859
50,35.6179,1.30159,4.5089,1.45006,0.07692,1,0.26533,0.16915,1.11564,3.82866,1.10381,0.000540429,0.000180143,0.000540429,0.000180143,0.000540429,0.000180143,0.000540429,0.000180143
51,36.3306,1.1747,4.44002,1.3703,0.07692,1,0.18242,0.07628,1.05916,3.83479,1.08396,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285
52,36.8051,1.21504,4.43633,1.40823,0.07692,1,0.18242,0.07628,1.05916,3.83479,1.08396,0.000540857,0.000180286,0.000540857,0.000180286,0.000540857,0.000180286,0.000540857,0.000180286
53,37.619,1.1398,4.45855,1.38176,0.07692,1,0.18242,0.07628,1.05916,3.83479,1.08396,0.000540435,0.000180145,0.000540435,0.000180145,0.000540435,0.000180145,0.000540435,0.000180145
54,38.9587,1.10862,4.28494,1.35535,0.03846,0.5,0.08292,0.07462,0.97494,3.83175,1.02401,0.000539589,0.000179863,0.000539589,0.000179863,0.000539589,0.000179863,0.000539589,0.000179863
55,39.8286,1.32915,4.44616,1.4496,0.03846,0.5,0.08292,0.07462,0.97494,3.83175,1.02401,0.000538319,0.00017944,0.000538319,0.00017944,0.000538319,0.00017944,0.000538319,0.00017944
56,40.3096,1.14542,4.40873,1.33616,0.03846,0.5,0.08292,0.07462,0.97494,3.83175,1.02401,0.000536625,0.000178875,0.000536625,0.000178875,0.000536625,0.000178875,0.000536625,0.000178875
57,41.0133,1.12473,4.46668,1.3792,0.03571,0.5,0.12437,0.11194,0.88051,3.82476,0.96341,0.000534506,0.000178169,0.000534506,0.000178169,0.000534506,0.000178169,0.000534506,0.000178169
58,41.4308,1.11081,4.46482,1.36093,0.03571,0.5,0.12437,0.11194,0.88051,3.82476,0.96341,0.000531964,0.000177321,0.000531964,0.000177321,0.000531964,0.000177321,0.000531964,0.000177321
59,41.8458,1.02545,4.46407,1.36403,0.03571,0.5,0.12437,0.11194,0.88051,3.82476,0.96341,0.000528997,0.000176332,0.000528997,0.000176332,0.000528997,0.000176332,0.000528997,0.000176332
60,42.5378,1.17796,4.3675,1.32907,0.07143,1,0.41458,0.17413,0.80615,3.8217,0.92086,0.000525606,0.000175202,0.000525606,0.000175202,0.000525606,0.000175202,0.000525606,0.000175202
61,42.9204,1.20713,4.40895,1.40046,0.07143,1,0.41458,0.17413,0.80615,3.8217,0.92086,0.000521791,0.00017393,0.000521791,0.00017393,0.000521791,0.00017393,0.000521791,0.00017393
62,43.3194,0.9972,4.26732,1.29708,0.07143,1,0.41458,0.17413,0.80615,3.8217,0.92086,0.000517552,0.000172517,0.000517552,0.000172517,0.000517552,0.000172517,0.000517552,0.000172517
